open,high,low,close,volume,50ma,label
61.76,62.56,61.43,62.4,79713900,80436258.0,1
62.21,62.72,61.43,61.84,83714400,80729712.0,2
61.65,62.07,61.38,61.8,74714500,80293276.0,2
62.06,62.09,61.27,61.68,63944300,79919280.0,2
61.36,61.61,60.7,60.8,66716300,79486008.0,2
61.12,62.7,61.09,62.53,91108500,79386664.0,2
63.01,66.18,62.62,65.5,220485300,81934608.0,2
66.61,67.46,66.01,66.7,189093100,84252826.0,1
66.42,67.22,65.44,66.62,122573500,85251348.0,1
66.92,67.29,66.74,67.21,90576500,84978208.0,1
67.48,68.74,67.43,67.93,127629600,85508122.0,1
68.2,68.31,67.01,67.04,89672100,85050798.0,0
67.38,67.85,67.06,67.21,83969900,85299634.0,0
67.56,67.64,66.66,67.29,61051900,85194536.0,0
67.33,67.34,66.81,67.03,55682900,84879032.0,0
67.0,68.26,66.96,67.29,82741400,85174530.0,0
66.63,67.23,65.06,65.37,106047200,85998402.0,2
65.02,66.34,65.02,65.68,76902000,86561314.0,1
65.78,66.43,65.71,65.79,59914400,86204902.0,1
65.83,65.95,65.09,65.19,68074300,85779834.0,2
65.97,66.98,65.2,65.37,82982200,85033886.0,1
66.84,67.2,66.4,66.72,86258200,84355320.0,0
66.93,66.99,66.05,66.26,59091900,83966344.0,0
66.69,66.81,65.55,66.66,89881400,83925352.0,0
67.57,67.96,67.36,67.72,85171800,83942558.0,0
67.73,67.89,65.49,66.18,185798900,84765954.0,0
62.48,63.38,62.19,62.58,224674100,87304168.0,1
62.68,63.6,62.35,63.24,101012800,86975098.0,1
62.8,63.13,62.17,62.2,74708900,87264632.0,1
61.68,61.76,59.84,60.22,135926700,88613042.0,2
59.93,61.51,59.87,60.92,99845200,89119254.0,2
61.97,62.4,61.63,62.17,114215500,89640642.0,2
62.98,63.66,62.78,63.19,101135300,90256320.0,2
63.95,64.03,62.35,62.54,174825700,92121372.0,2
66.38,66.48,64.57,65.64,190526700,94534090.0,0
66.21,66.29,65.27,65.44,91086100,95146226.0,1
65.45,65.51,64.41,64.43,79239300,95648322.0,1
65.02,65.37,64.74,65.05,59305400,95839478.0,1
64.73,64.85,64.32,64.59,57010100,95885286.0,1
63.85,64.44,63.47,63.79,65039100,95842460.0,2
64.01,65.44,64.0,65.29,88470900,96572896.0,1
64.97,65.8,64.72,65.5,72296000,96171838.0,1
65.63,65.87,64.32,64.68,80688300,94825920.0,1
64.74,64.84,64.03,64.63,64717100,94972794.0,2
