open,high,low,close,volume,prior_high,50ma,next_close
113.28,115.14,112.91,114.98,90613177,108.68,35279150.0,114.33
85.47,86.7,85.46,86.5,94118500,81.44,69714680.0,86.17
69.77,70.06,68.99,69.09,112342300,71.56,158098976.0,68.49
78.15,79.94,78.03,79.37,121095800,76.72,112215362.0,78.84
57.92,58.85,57.6,58.16,71528100,60.42,112673470.0,57.44
63.32,63.69,61.76,61.78,152263300,60.42,151477172.0,61.66
90.52,90.53,89.31,89.52,39079000,91.77,56958688.0,90.26
104.46,104.64,103.69,104.55,34968457,97.42,63265617.0,104.85
56.96,57.74,56.82,57.04,90804000,61.64,129442390.0,56.48
118.33,119.16,117.44,117.95,33871405,115.37,52055937.0,114.23
66.81,68.26,65.8,68.11,189401800,71.56,157547362.0,70.09
53.92,54.2,53.01,53.52,78540700,60.42,111267954.0,52.91
112.66,113.47,110.77,110.97,64112641,110.87,63380791.0,110.51
98.52,98.95,98.3,98.82,23779924,100.37,35961692.0,98.91
113.73,115.11,112.73,115.0,66134219,117.69,36679576.0,113.9
121.57,122.95,121.33,122.68,51023104,128.71,60971200.0,124.06
70.65,70.95,69.74,69.79,61236000,71.56,89397042.0,69.92
111.95,112.42,111.4,111.8,25965534,117.69,38360039.0,111.23
69.92,70.41,68.95,68.97,65655100,71.56,91256774.0,70.05
60.32,60.5,58.77,59.0,111779500,61.03,116228000.0,57.0
106.22,106.33,104.85,104.98,25213777,109.77,42939971.0,102.97
74.93,75.02,73.03,73.56,124057500,74.46,167871648.0,73.17
98.49,99.71,98.26,98.63,68263146,97.42,62694382.0,100.4
102.13,105.18,102.01,104.9,45292770,108.68,31670173.0,107.4
102.95,103.48,101.19,101.95,78513345,108.68,48813803.0,104.57
107.97,108.37,107.3,107.38,27484506,99.37,34264622.0,107.63
92.41,92.53,90.28,90.32,53502000,89.96,58470018.0,88.71
72.06,72.6,71.62,71.92,56189000,73.0,82483926.0,71.58
112.82,113.08,112.11,112.47,21453089,115.37,36661307.0,113.31
120.99,122.26,120.26,121.46,43940895,124.93,51258681.0,123.75
112.58,113.22,111.23,111.61,35886990,115.37,37628660.0,112.47
71.52,72.0,71.28,71.98,50640800,73.73,62869800.0,71.04
89.22,90.28,88.64,89.99,49988000,91.77,57328594.0,89.52
72.17,73.48,71.78,73.47,90862100,71.56,80087154.0,74.83
123.85,124.0,122.9,123.44,32918071,126.18,46091929.0,124.0
79.85,80.41,79.58,80.12,86230200,79.05,100267034.0,81.01
117.85,118.08,116.35,116.4,49365254,115.37,60047212.0,118.04
51.23,52.76,50.85,51.57,152318600,57.49,113780674.0,52.64
77.39,77.51,76.15,76.77,133332500,72.27,145585496.0,76.53
106.86,107.4,105.77,106.39,27766291,99.37,33271663.0,106.27
95.6,96.41,94.99,95.32,28991131,96.45,50973553.0,95.1
56.74,57.97,56.14,57.82,118559000,63.51,137522140.0,56.57
73.52,74.75,73.43,73.74,99886500,79.84,173149046.0,72.64
113.29,114.62,112.87,113.14,37861662,117.69,37181236.0,112.96
67.02,70.29,66.82,69.86,164873100,70.15,153347586.0,72.08
120.13,121.09,118.37,119.34,51827283,128.71,61125411.0,120.66
